"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"IRF2",0.00748570381538675,0.6,0.737223097862673,0.734328358208955,-0.00189796033639009,0.193909779327688
"RFX5",0.00458489424844193,0.61,0.726375061460204,0.741037037037037,-0.00369341678922729,1.04856697489991
"EGR1",0.00792094359435666,0.63,0.584112077000111,0.759705882352941,0.00705715142470694,0.157768869489743
"SP1",0.00887933328550636,0.645,0.6232677880874,0.772116788321168,0.012381240844482,2.47933185452372
"HNF4G",0.00463882438550891,0.665,0.735844889148223,0.790289855072464,-0.0159735797074965,1.8767568172114
"FOXQ1",0.00985978084959746,0.67,0.612428383856579,0.790503597122302,-0.00666323581757018,0.632330673288059
"MZF1",0.00479380887113554,0.675,0.817589057937406,0.790714285714286,-0.0108884440491144,2.86638427812902
"GATA4",0.00697224901259932,0.705,0.621957594826466,0.814225352112676,0.0140786845460881,2.38792290442085
"KLF4",0.00716321877191241,0.705,0.654079044344993,0.814225352112676,0.0369407860065116,5.99380826308208
"MYC",0.00476458654234954,0.715,0.625347818872776,0.82,-0.0195256659915149,3.1978465306807
"CTCF",0.00576319200239479,0.72,0.831748344236773,0.82,-0.00761630946819201,2.93652618891539
"IRF1",0.00441939643516984,0.725,0.851775739926406,0.82,-0.00261272258420421,0.363381316164331
"FEV",0.00534228789737472,0.73,0.883274144657443,0.82,-0.00402056123982874,0.309062441612781
"PRDM1",0.00344009799884425,0.735,0.629597892124133,0.82,0.00174200750219791,0.130207065264853
"ZFX",0.00760067376628974,0.755,0.864423308159597,0.836621621621621,-0.00497710280663619,0.54562553693113
"FOXD1",0.00882978172805635,0.835,0.703634710891198,0.919060402684564,0.0516093210594269,4.03481339285907
"RUNX2",0.00368427441710237,0.85,0.765145419313631,0.929333333333333,0.00668029715503491,0.892489848616438
"EGR2",0.0062410465068004,0.87,0.964969240003597,0.938684210526316,0.0366701590444701,0.641223645144626
"ZNF143",0.00499234113407036,0.87,0.992412684826854,0.938684210526316,0.00401919228597362,0.622427728500605
"FLI1",0.00405451984696526,0.885,0.974567032213123,0.941677419354839,0.00636418664447301,0.762919461499413
"MYOG",0.00393961039728439,0.885,0.985957380891445,0.941677419354839,0.00672851619050076,0.47086521187782
"TBP",0.00953326829798816,0.89,0.948354797173866,0.941677419354839,-0.0083984518085211,1.91513667910264
"TCF12",0.00360063411358112,0.9,0.825501186967932,0.946153846153846,-0.00390679414388098,0.515236536151464
"NFKB1",0.0036753618026054,0.92,0.803022426941152,0.961019108280255,-0.00748676707952973,1.43309275114883
"NHLH1",0.00407962470705929,0.945,0.9446397774616,0.972795031055901,0.01043379131893,1.19538438103764
"SPIB",0.00439442678048601,0.95,0.799415890890232,0.972795031055901,-0.0306282007450385,2.7071387695218
"AR",0.00483263830994294,0.955,0.835580798343327,0.972795031055901,-0.000289691296515562,0.0216002270175229
"TP63",0.0038376116041012,0.955,0.92822076543321,0.972795031055901,0.00189318857034666,0.23834977171577
"FOXP1",0.00485883762399484,0.965,0.917129395593024,0.975,-0.0156327568482831,4.09028529147231
"ESRRA",0.00435572765278843,0.97,0.876982496937558,0.975,0.00111154399649767,0.155391165520607
"KLF1",0.00509261662268442,0.975,0.894147172320726,0.975,0.041704467885767,2.43373404814802
