"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"CRX",0.00364613679448175,0.135,0.194618519696292,0.351428571428571,0.0100594799300224,2.39436778562578
"HLTF",0.00429503511989343,0.135,0.249372498684682,0.351428571428571,-0.0118924700830321,1.3815947373477
"NR2F1",0.00730817776386209,0.14,0.131824975199731,0.35323076923077,0.000625008277588807,0.141556009343195
"RFX1",0.00187519711760179,0.14,0.207846593948429,0.35323076923077,0.00824057772109408,3.3200962158897
"MYB",0.00251287482996199,0.145,0.228233500476659,0.36030303030303,0.000668632070996939,0.0761932957297296
"SOX9",0.00490895567051382,0.165,0.249929449250269,0.403880597014925,-0.00541300077990354,0.87466180523502
"ESRRA",0.00673506311955998,0.17,0.145269794481386,0.404057971014493,0.0109354552181747,6.26791895699879
"RFX2",0.0018957686155309,0.17,0.239472084366873,0.404057971014493,0.019725561288891,4.51735174001737
"CTCF",0.0076775612974723,0.175,0.182729473663227,0.41,-0.00713664567333121,7.75518024702195
"GFI1",0.00297932831003966,0.185,0.23405323843758,0.427323943661972,-0.0118089114467539,1.48306453984471
"GATA3",0.00645726947175911,0.195,0.282397338226007,0.438082191780822,-0.0194478362433712,8.09247397720846
"USF2",0.00672590691404746,0.195,0.203776907360571,0.438082191780822,-0.00128276488558336,0.390012237296797
"RELA",0.0022001415810424,0.2,0.288692967844848,0.443243243243243,-0.00537850182218967,3.60349648772411
"REST",0.00664565280595665,0.21,0.193724477747943,0.453157894736842,0.00300672202017088,1.07885620205774
"STAT3",0.00210061702467781,0.21,0.269513139719622,0.453157894736842,0.00456349136381129,3.22016587469102
"CEBPA",0.00501701412217057,0.215,0.288328122243104,0.457922077922078,0.00277786191155858,0.499768181970594
"GATA1",0.00459027096497864,0.22,0.291515795511761,0.462564102564103,0.00778867959233772,0.769847975214954
"TP63",0.00573249819870821,0.225,0.24164194465632,0.467088607594937,0.00404846515866667,0.999360860100382
"EN1",0.00273104814005834,0.23,0.262759466989069,0.4715,0.0158415206241179,3.22112510033885
"HLF",0.00707084163607649,0.235,0.308373599705422,0.475802469135802,-0.0302965752428961,6.83212257238584
"GATA4",0.00448865815179544,0.25,0.272923823761333,0.5,0.00427174747024207,1.01981735436346
"KLF5",0.0116706618450986,0.275,0.307135998940244,0.543373493975903,0.0223150879471821,7.99532529930916
"HOXA5",0.0109450380652806,0.285,0.362736508980475,0.549882352941176,0.0123281039853805,0.804455265063164
"YY1",0.00612902246517123,0.285,0.34958146189916,0.549882352941176,-0.00104926928055809,0.343613836785448
"STAT6",0.00406667827300528,0.29,0.34844520764273,0.553023255813954,-0.000150964291887435,0.0420554036455713
"TP53",0.00371315511441496,0.3,0.344430250618903,0.56551724137931,-0.00956559166197657,5.90307153666587
"GATA2",0.00546160531669781,0.315,0.353600935974979,0.587045454545454,0.02022918064971,5.85447680577246
"JUN",0.00602835289386017,0.35,0.3808454499673,0.644943820224719,-0.00521915170234601,1.42141644838331
"T",0.00514622498041269,0.355,0.38370532668956,0.646888888888889,-0.000888608776606225,0.110089618582364
"FOSL2",0.00660432809486784,0.36,0.430834270605034,0.648791208791209,0.00779383410160113,2.69488224974322
"IRF2",0.00846854824692827,0.375,0.405584200388156,0.668478260869565,-0.002881684654931,1.65321667382574
"SPI1",0.00537700820801728,0.385,0.457086122380129,0.678924731182796,0.00685503760431265,2.98767420539139
"BCL6",0.00286302012949915,0.395,0.394687627190053,0.681894736842105,0.011120762659762,3.56481399774961
"SOX2",0.00388630182980281,0.395,0.424471775158735,0.681894736842105,0.00378309892944672,0.826764800218645
"RORA",0.00371302431461204,0.4,0.402489686662965,0.683333333333333,-0.0204296114844971,7.32416302259848
"CEBPB",0.00481914695767135,0.415,0.430391149766131,0.695757575757576,0.00305686819146261,2.40215795170686
"NR3C1",0.00329523007296979,0.42,0.414198394280962,0.695757575757576,0.000666405489568322,0.147683772989904
"POU2F2",0.0101528247329005,0.42,0.513988284939507,0.695757575757576,0.00110201023411276,0.29467034790992
"TCF7L2",0.00442043707489686,0.47,0.448595716559252,0.763725490196079,-0.0122453126685643,2.69611150851202
"FOXF2",0.00688468888454218,0.475,0.4657981399027,0.763725490196079,0.00658425720438556,0.896977126654375
"THAP1",0.00498597321199559,0.475,0.540628694985044,0.763725490196079,-0.0238868300699133,3.40649583521905
"FOXI1",0.00442227739248608,0.49,0.461904664875493,0.772692307692308,0.00417613839825314,0.548039779063433
"HINFP",0.00878807587976187,0.49,0.595327718165368,0.772692307692308,0.00128547132910949,0.393655862924777
"NFYA",0.00558136295016005,0.52,0.608103504454423,0.812190476190476,0.00148457610789581,0.421721607498655
"TFCP2L1",0.00491640691456988,0.545,0.629926457452412,0.834774774774775,0.00440255907466636,0.692594044317155
"FEV",0.00579173071038783,0.55,0.630248023263497,0.834774774774775,-0.00143804659303929,0.205487256887857
"RUNX2",0.0044097003838164,0.555,0.735413970391379,0.834774774774775,-0.00790710957784747,2.45905560140269
"NOBOX",0.00988316945521845,0.56,0.526682262393283,0.834774774774775,0.00500801169678872,0.924343032658047
"SPIB",0.00542384815179755,0.56,0.67105033339367,0.834774774774775,-0.0297548496710236,6.934287854693
"MYC",0.00657007444856108,0.565,0.632051736845717,0.834774774774775,-0.00738020863287981,1.80738850416034
"FOXD1",0.00694878891880724,0.585,0.522455137903107,0.856607142857143,0.00846070401445338,0.775234852586435
"NFATC2",0.0062572689660659,0.595,0.701636461807745,0.86353982300885,-0.00854877270254984,3.48003133454161
"ELF5",0.00372631624622941,0.605,0.55095228106322,0.870350877192982,0.00262363322424871,0.405650084992758
"FOXD3",0.00741743387546254,0.635,0.748816982618297,0.888333333333333,0.0117763072386564,3.60911128889559
"PAX2",0.00744027982746786,0.635,0.796382456955171,0.888333333333333,0.00182390326779613,0.308450837924903
"MYCN",0.00415985341794448,0.64,0.588791142766087,0.888333333333333,-0.000734119337794615,0.147871183302818
"PRDM1",0.00424094249938364,0.645,0.803145406439371,0.888333333333333,-0.00372198373569337,0.926586125674464
"SOX3",0.00319279697663616,0.645,0.573170358131069,0.888333333333333,0.0045289228707041,1.0921532029151
"RUNX1",0.0043802145607243,0.65,0.799862352733221,0.888333333333333,0.00277951224634923,1.18548565718138
"HNF1B",0.015404621115278,0.665,0.754748928103189,0.893333333333333,-0.00876781440934853,1.16647524223142
"BRCA1",0.00500476882658801,0.67,0.815475250629843,0.893333333333333,0.0130121883300282,3.01905868813849
"HNF1A",0.00930932088386228,0.67,0.603836710562545,0.893333333333333,0.00484763425979898,1.26387379924746
"CDX2",0.0101597702592618,0.685,0.87941247274219,0.89872,0.00370154164231286,0.599112814734164
"IRF1",0.00404278291741687,0.685,0.814263065494161,0.89872,0.00738330368532657,5.08060078562126
"FOXP1",0.0049389826789365,0.7,0.826566757835608,0.906969696969697,-0.00622979703891858,4.79518941940557
"EHF",0.00449245859268735,0.705,0.819761835152318,0.906969696969697,-0.000691943724887612,0.102603063206134
"SRY",0.0103580910627386,0.715,0.641124256813328,0.906969696969697,-0.00688624351985451,0.812553545459889
"NFYB",0.00530067529199861,0.725,0.837375229474792,0.906969696969697,-0.00479674244526003,0.309333992488015
"USF1",0.00361372803452185,0.725,0.630509606146762,0.906969696969697,0.0228617743803514,4.30273263768022
"ETS1",0.00430527289088411,0.73,0.889945196198872,0.906969696969697,-0.00989564330767997,5.92208469591407
"FOXO3",0.00689409444409933,0.73,0.878066339776094,0.906969696969697,0.00352823788379637,1.50535320133374
"FOXA2",0.00860358987139051,0.74,0.899485799321454,0.910441176470588,-0.000280801609752335,0.0265699439160637
"FOXA1",0.00780497127939665,0.745,0.894405978343696,0.910441176470588,-0.0051407858765401,0.382215029469905
"MECOM",0.0086582148532784,0.75,0.684247949674853,0.910441176470588,0.0209073587868975,3.32075437492525
"MAFB",0.00374877518414629,0.755,0.661022604434205,0.910441176470588,0.00397234627422079,0.898621958907148
"AR",0.00501270141187386,0.77,0.934098145320199,0.917482517482518,0.00435911967778425,0.512700077582442
"FOSL1",0.0082102938747225,0.775,0.85082306982141,0.917482517482518,0.0107835328646734,0.536151325670789
"NR4A2",0.00442113376269537,0.785,0.716840069076915,0.917482517482518,-0.00847108303594605,1.24454417235922
"FOXO1",0.0047908995840573,0.795,0.725263667564317,0.917482517482518,-0.00926440285042929,6.6967935525593
"NHLH1",0.00323966636571743,0.795,0.672662370561239,0.917482517482518,0.0155537473184991,2.85934762752387
"SOX17",0.00847901172911086,0.795,0.913789079137345,0.917482517482518,0.0024809332551881,0.418224211603021
"FOS",0.00680760507933289,0.8,0.738587694666765,0.917482517482518,0.00460242151278421,0.662346763549205
"NFKB1",0.00322272536526128,0.815,0.706985551038735,0.927448275862069,0.00606668196291428,3.28849650706061
"FOXP2",0.0069117043111214,0.82,0.978363803759427,0.927448275862069,0.00566962950914383,1.80154040403548
"JUNB",0.00667971755362441,0.835,0.770428487685746,0.931818181818182,0.00606073959573607,3.92585834675607
"TEAD1",0.00466120789737504,0.84,0.741214143658306,0.931818181818182,0.00123513503183493,0.141745926368714
"LHX3",0.0137646690755265,0.855,0.972269644632361,0.931818181818182,0.000849317475114367,0.105148984226959
"NKX2-5",0.00440635611183052,0.855,0.969023854296052,0.931818181818182,-0.002739849304343,0.490680562155723
"STAT1",0.00424050504585163,0.86,0.72793881595546,0.931818181818182,0.00684190783719844,2.37429846139148
"FOXQ1",0.0114962344501547,0.86,0.981314536715507,0.931818181818182,0.0124674356588137,0.789084832497021
"JUND",0.00489084651619611,0.87,0.992454179675247,0.931818181818182,-0.000559725785649684,0.159853148946825
"HSF1",0.0036475389932855,0.875,0.73930700007557,0.931818181818182,-0.00241668286594668,0.694939389652712
"MAX",0.00470547247984073,0.875,0.726358931378006,0.931818181818182,0.00187492112322174,0.905343395036471
"BHLHE40",0.00454371012672351,0.89,0.999795496881466,0.940127388535032,0.00542984189940132,1.87042008759871
"SOX6",0.00517890934769082,0.895,0.800890407418511,0.940127388535032,0.0121083273078606,1.02488166020352
"MEIS1",0.00353644664865728,0.9,0.799141024454142,0.940127388535032,-0.000342406770388868,0.0258938898903655
"ERG",0.00341702768635149,0.91,0.785342597069871,0.944556962025317,0.0159416188338222,3.01204371609217
"TBP",0.00905784220529339,0.92,0.918624237492586,0.948930817610063,-0.00736122463514586,3.60477035299009
"HOXC9",0.0101619956880145,0.935,0.836753711785988,0.951604938271605,-0.00885797511653118,1.38499776253608
"SREBF2",0.00436480909965676,0.935,0.83027891048607,0.951604938271605,0.00310280197979167,0.964422210658979
"FOXL1",0.0138959672161162,0.94,0.804586752683847,0.951604938271605,0.0043073488642145,0.874353563701565
"CREB1",0.00583878054288557,0.99,0.895346619764565,0.995,0.000593481766401858,0.122921340679864
"SREBF1",0.00420371542725056,0.995,0.888160189886231,0.995,0.00696133002956025,2.6423931353963
